X,Y,FID,Actief,Type,Locatie,Code,Naam,Aanduiding,Straat,Wijk,Plaatsnaam,Gemeente,Beheerder,Objectgroe,Typenummer,Bouwjaar,Levensduur
4.328619442076349,52.007564368829357,40,TRUE,Speelplek,2614-15 - Eenruiter,2614-15,Eenruiter,Speelplaats,Eenruiter,Harnaschpolder,Delft,Delft,Gemeente, , ,2019,12
4.348078886710577,51.990027430736774,41,TRUE,Speelplek,2508-02 - Eisenhouwerlaan,2508-02,Eisenhouwerlaan,Speelplaats,Eisenhouwerlaan,Buitenhof,Delft,Delft,Gemeente, , ,2003,15
4.335955565641357,51.993871061355222,42,TRUE,Speelplek,2501-21 - Elgarlaan,2501-21,Elgarlaan,Speelplaats,Elgarlaan,Buitenhof,Delft,Delft,Gemeente, , ,2002,16
4.355648785080111,52.021384581815127,43,TRUE,Speelplek,1202-15 - Floresstraat,1202-15,Floresstraat,Speelplaats,Floresstraat,Vrijenban 12,Delft,Delft,Gemeente, , ,2003,15
4.334672549844317,52.012819610003255,44,TRUE,Speelplek,1400-05 - Foreestweg basket en skatebaan,1400-05,Foreestweg basket en skatebaan,Basketbal,Foreestweg van,Voordijkshoorn 14,Delft,Delft,Gemeente, , ,2003,15
4.345482731720122,51.988422350917737,45,TRUE,Speelplek,2508-03 - Foulkeslaan,2508-03,Foulkeslaan,Speel/trap,Foulkeslaan,Buitenhof,Delft,Delft,Gemeente, , ,2012,12
4.374597934756936,52.009026967755588,46,TRUE,Speelplek,2802-14 - Frederik Hendrikstraat,2802-14,Frederik Hendrikstraat,Speel/trap,Frederik Hendrikstraat,Wippolder 28,Delft,Delft,Gemeente, , ,2011,10
4.360332584288811,51.990979417074676,47,TRUE,Speelplek,2407-01 - Frederik van Eedenlaan,2407-01,Frederik van Eedenlaan,Speel/trap,Frederik van Eedenlaan,Voorhof 24,Delft,Delft,Gemeente, , ,2011,12
4.364778401952369,51.982724340300159,48,TRUE,Speelplek,2304-16 - Gaaistraat,2304-16,Gaaistraat,Speelplaats,Gaaistraat,Tanthof Oost,Delft,Delft,Gemeente, , ,2017,15
4.336831566736269,51.982006770353394,49,TRUE,Speelplek,2201-14 - Gabonstraat,2201-14,Gabonstraat,Speelplaats,Gabonstraat,Tanthof west 22,Delft,Delft,Gemeente, , ,2002,15
4.357054540215327,52.017472554729821,50,TRUE,Speelplek,1101-WOC-01 - Geerweg,1101-WOC-01,Geerweg,Bewaakte speelplaats van derden,Geerweg,Binnenstad,Delft,Delft,Beheerder speelplek Geerweg, , ,2013,12
4.355816785298303,51.986324882862206,51,TRUE,Speelplek,2301-02 - Geitenkamp,2301-02,Geitenkamp,Speelplaats,Geitenkamp,Tanthof Oost,Delft,Delft,Gemeente, , ,2003,15
4.329034780580144,52.009362911016922,52,TRUE,Speelplek,2614-13 - Glaskloksingel bootje,2614-13,Glaskloksingel bootje,Speelplaats,glaskloksingel,Harnaschpolder,Delft,Delft,Gemeente, , ,2017,15
4.32976554270795,52.008258454902425,53,TRUE,Speelplek,2614-07 - Glaskloksingel trapveld,2614-07,Glaskloksingel trapveld,Trapveld,Glaskloksingel,Harnaschpolder,Delft,Delft,Gemeente, , ,2015,15
4.337818442107768,51.986336966855639,54,TRUE,Speelplek,2507-06 - Grabijnhof trapveld,2507-06,Grabijnhof trapveld,Trapveld,Grabijnhof,Buitenhof,Delft,Delft,Gemeente, , ,2012,20
4.342947945656714,51.990587045100277,55,TRUE,Speelplek,2504-10 - Handellaan,2504-10,Handellaan,Speelplaats,Handellaan,Buitenhof,Delft,Delft,Gemeente, , ,2003,15
